Pity,Observable Occurance,Inner Distribution,Outer Distribution,Effective Probability
1,0.6,0.6,99.4,0.60
2,0.6,1.19,98.81,0.60
3,0.59,1.78,98.22,0.60
4,0.59,2.37,97.63,0.60
5,0.6,2.97,97.03,0.60
6,0.57,3.55,96.45,0.60
7,0.58,4.13,95.87,0.60
8,0.57,4.71,95.3,0.60
9,0.56,5.27,94.73,0.60
10,0.57,5.84,94.16,0.60
11,0.56,6.4,93.6,0.60
12,0.57,6.97,93.03,0.60
13,0.55,7.52,92.48,0.60
14,0.55,8.07,91.93,0.60
15,0.55,8.62,91.38,0.60
16,0.56,9.19,90.81,0.60
17,0.53,9.72,90.28,0.60
18,0.55,10.27,89.73,0.60
19,0.54,10.81,89.19,0.60
20,0.54,11.35,88.65,0.60
21,0.53,11.88,88.12,0.60
22,0.54,12.42,87.58,0.60
23,0.52,12.93,87.07,0.60
24,0.52,13.46,86.54,0.60
25,0.53,13.99,86.01,0.60
26,0.52,14.51,85.49,0.60
27,0.51,15.02,84.98,0.60
28,0.51,15.53,84.47,0.60
29,0.51,16.05,83.95,0.60
30,0.51,16.56,83.44,0.60
31,0.51,17.06,82.94,0.60
32,0.52,17.58,82.42,0.60
33,0.49,18.07,81.93,0.60
34,0.5,18.56,81.44,0.60
35,0.5,19.06,80.94,0.60
36,0.49,19.55,80.45,0.60
37,0.48,20.03,79.97,0.60
38,0.49,20.52,79.48,0.60
39,0.48,21,79,0.60
40,0.47,21.47,78.53,0.60
41,0.48,21.95,78.05,0.60
42,0.47,22.42,77.58,0.60
43,0.45,22.87,77.13,0.60
44,0.47,23.34,76.66,0.60
45,0.45,23.79,76.21,0.60
46,0.46,24.25,75.75,0.60
47,0.45,24.7,75.3,0.60
48,0.45,25.15,74.85,0.60
49,0.45,25.6,74.4,0.60
50,0.45,26.05,73.95,0.60
51,0.43,26.48,73.52,0.60
52,0.45,26.93,73.07,0.60
53,0.43,27.36,72.64,0.60
54,0.45,27.81,72.19,0.60
55,0.43,28.24,71.76,0.60
56,0.43,28.67,71.33,0.60
57,0.42,29.09,70.91,0.60
58,0.42,29.51,70.49,0.60
59,0.44,29.95,70.05,0.60
60,0.43,30.38,69.62,0.60
61,0.42,30.8,69.2,0.60
62,0.42,31.22,68.78,0.60
63,0.41,31.63,68.37,0.60
64,0.42,32.05,67.95,0.60
65,0.41,32.46,67.54,0.60
66,0.4,32.86,67.14,0.60
67,0.39,33.26,66.74,0.60
68,0.41,33.67,66.33,0.60
69,0.41,34.08,65.92,0.60
70,0.4,34.48,65.52,0.60
71,0.39,34.87,65.13,0.60
72,0.4,35.26,64.74,0.60
73,0.39,35.65,64.35,0.60
74,4.22,39.87,60.13,6.60
75,7.59,47.46,52.54,12.60
76,9.74,57.2,42.8,18.60
77,10.52,67.72,32.28,24.60
78,9.85,77.57,22.43,30.60
79,8.22,85.79,14.21,36.60
80,6.07,91.87,8.13,42.60
81,3.94,95.81,4.19,48.60
82,2.28,98.09,1.91,54.60
83,1.15,99.24,0.76,60.60
84,0.5,99.74,0.26,66.60
85,0.19,99.93,0.07,72.60
86,0.06,99.98,0.02,78.60
87,0.01,100,0,84.60
88,0,100,0,90.60
89,0,100,0,96.60
90,0,100,0,102.60
